TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CVCB3;25,15;;-4,23;87,75;0,99;82,80;-224,58;-191,51;-3,61;-4,01;-0,40;9,72;8,10;-54,31;-2,57;0,97;-2.075,39;-23,48;-109,51;0,01;0,99;0,12;-6,66;;156.389.526,73;0,29;-5,95;0,00;5.059.608.038,70
CXSE3;11,23;;;;;;;;;;;;;;;;;;;;;;;;111.157.825,13;;0,00;;33.690.000.000,00
CYRE3;23,67;12,27;5,38;1,63;0,83;32,70;57,66;46,04;4,29;4,68;0,39;0,15;2,47;2,39;-1,76;2,88;30,37;15,40;20,53;0,51;0,49;0,33;-2,51;25,27;116.110.313,23;14,50;4,40;0,02;9.461.912.052,33
DASA3;58,00;0,49;-208,37;8,89;2,35;24,94;2,37;-2,14;188,67;211,63;22,96;1,08;4,46;26,23;-3,44;1,40;-4,26;-1,13;1,07;0,27;0,73;0,53;20,30;;28.258.297,15;6,53;-0,28;0,94;31.422.217.518,00
DIRR3;13,63;5,94;16,07;1,70;0,41;34,88;15,49;8,02;8,32;8,87;0,56;0,11;1,29;0,96;-0,87;4,92;10,55;2,53;8,86;0,24;0,74;0,32;-0,89;-0,79;15.301.983,92;8,04;0,85;0,36;2.090.824.948,87
DMMO3;0,89;;-0,83;-0,36;0,95;-10,45;-53,90;-98,60;-1,53;-1,03;0,50;;0,82;-1,19;-1,70;0,36;-43,56;-113,37;23,96;-2,60;3,60;1,15;-10,63;;6.726.636,19;-2,45;-1,07;-0,01;274.074.302,06
DMVF3;9,70;;3.990,63;0,59;0,34;32,35;0,66;0,01;73,85;62,55;-11,29;-0,09;0,49;2,97;-0,51;1,52;0,01;0,01;-1,16;0,57;0,43;0,69;;;2.406.446,12;16,52;0,00;-2,29;490.847.567,40
DOHL3;27,18;2,56;24,47;3,14;2,37;29,08;13,26;16,10;29,70;22,45;-0,78;-0,08;3,94;5,43;-5,12;5,24;12,82;9,67;6,74;0,75;0,25;0,60;5,55;24,38;20.037,17;8,67;1,11;0,15;1.607.288.362,95
DOHL4;5,99;12,78;5,39;0,69;0,52;29,08;13,26;16,10;6,55;22,45;-0,78;-0,08;0,87;1,20;-1,13;5,24;12,82;9,67;6,74;0,75;0,25;0,60;5,55;24,38;123.898,23;8,67;1,11;0,03;1.607.288.362,95
DTCY3;9,80;;468,18;21,60;4,26;30,06;7,36;1,41;89,41;108,37;-0,55;-0,13;6,58;-21,22;-5,82;0,57;4,61;0,91;15,37;0,20;0,80;0,65;4,04;;134.349,32;0,45;0,02;-4,58;132.879.667,80
DTCY4;62,60;;2.990,60;137,98;27,20;30,06;7,36;1,41;571,15;108,37;-0,55;-0,13;42,03;-135,57;-37,17;0,57;4,61;0,91;15,37;0,20;0,80;0,65;4,04;;;0,45;0,02;-29,28;132.879.667,80
DTEX3;21,31;3,51;25,66;2,93;1,31;31,91;12,88;8,86;17,65;19,89;2,24;0,37;2,27;9,11;-2,04;1,69;11,44;5,12;8,44;0,45;0,55;0,58;8,21;18,81;49.018.740,31;7,26;0,83;0,79;14.741.927.716,31
